               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023225,            0.013197,           0.0024798,             0.83603,             0.79694,             0.83054,             0.55517,             0.02453,           0.0081887,           0.0098765,            0.070152,           0.0033165,           0.0033165
                   1,             0.02358,            0.012896,           0.0030502,              0.8112,             0.79833,              0.8218,             0.54159,            0.025274,           0.0082053,           0.0095826,            0.037957,           0.0044554,           0.0044554
